título,temporada,episódio,votos
"The Bear and the Maiden Fair",3,7,22223
"High Sparrow",5,3,22275
"Garden of Bones",2,4,22415
"Dark Wings, Dark Words",3,2,22468
"The Ghost of Harrenhal",2,5,22603
"Walk of Punishment",3,3,22678
"The Prince of Winterfell",2,8,22729
"Second Sons",3,8,22800
"Sons of the Harpy",5,4,22877
"First of His Name",4,5,22964
